College,RR(%) - Retention Rates ,GR(%) - Graduation Rates 
University of Phoenix,4,28
Western International University,7,25
American InterContinental University,29,32
Franklin University,33,33
Westwood College,37,48
ITT Technical Institute,38,44
Post University,45,36
Ashford University,45,41
DeVry University,47,33
Rasmussen College,48,53
South University,51,25
Berkeley College,51,45
Salem International University,54,39
Peirce College,60,36
Nova Southeastern University,60,47
Everest University,62,36
Tiffin University,63,34
Everglades University,63,50
Dickinson State University,65,37
Upper Iowa University,67,36
Herzing College,68,56
Grand Canyon University,69,46
Liberty University,73,51
Kaplan University,75,38
Western Governors University,78,37
LeTourneau University,78,52
Keiser University,95,55
National University,100,57
Florida National College,100,61
